Year,Coal,Natural Gas,"Distillate
Fuel Oil",HGL,"Jet
Fuel","Motor
Gasoline
excluding
Fuel Ethanol","Residual
Fuel Oil",Other,Petroleum Total,FF Total,"Natural Gas
including
Supplemental
Gaseous Fuels","Distillate
Fuel Oil
including
Biodiesel","Motor
Gasoline
including
Fuel Ethanol",Nuclear Electric Power,Hydro-electric Power,Wood and Waste,Fuel Ethanol,Biodiesel,Losses and Co-products,Total,Geo-thermal,Solar,Wind,Total,Net Interstate Flow of Electricity,Electricity Net Imports,Total
1960,68.2,195,24.4,12.1,2.6,86.5,11.8,24.3,161.7,424.9,195,24.4,86.5,0,10.4,6.5,0,0,0,6.5,0,0,0,16.9,-17.2,0,424.6
1965,98.1,204.5,22.9,12.8,19.3,101.5,12.9,29.1,198.5,501.1,204.5,22.9,101.5,0,9.8,6.6,0,0,0,6.6,0,0,0,16.4,-8.8,0,508.7
1970,115.7,275,30.4,17.9,42.3,137.1,9.5,36.3,273.4,664.1,275,30.4,137.1,0,13,8.4,0,0,0,8.4,0,0,0,21.3,-7.8,0,677.6
1971,105.7,281.8,36.4,19.2,43.4,145.3,10,33.2,287.6,675.1,281.8,36.4,145.3,0,16.6,8.9,0,0,0,8.9,0,0,0,25.5,-8.7,0,691.9
1972,119,301.7,40.1,22.6,43.9,157.7,12.4,34.6,311.2,731.9,301.7,40.1,157.7,0,12.9,10,0,0,0,10,0,0,0,22.9,1.5,0,756.3
1973,140.5,311.7,46.1,22.1,43.6,165.6,14.4,35.9,327.6,779.8,311.7,46.1,165.6,0,13.3,10.3,0,0,0,10.3,0,0,0,23.6,-1.5,0,801.9
1974,138.3,302.7,51.3,19.3,41.5,161.7,19.2,29.9,323,764,302.7,51.3,161.7,0,14.8,9.4,0,0,0,9.4,0,0,0,24.2,-1.1,0,787.1
1975,159.3,281,51.5,18.9,40.4,167.7,21.3,26.6,326.5,766.8,281,51.5,167.7,0,15.7,9,0,0,0,9,0,0,0,24.7,-7.1,0,784.4
1976,185.1,276.3,55,20.4,43.7,173.1,24.1,28.5,344.8,806.2,276.3,55,173.1,0,13.4,10.3,0,0,0,10.3,0,0,0,23.6,-11.1,0,818.8
1977,223.8,254,57.9,19.5,44.7,180.2,20.4,32.3,355,832.8,254,57.9,180.2,2.4,11.2,12.5,0,0,0,12.5,0,0,0,23.7,-23.8,0,835.1
1978,218.6,234.6,59.6,22.3,46.9,193.8,24.7,27.7,375,828.2,234.6,59.6,193.8,6.7,13.9,15.5,0,0,0,15.5,0,0,0,29.4,-14,0,850.2
