"Utility ID","Utility Name","Plant Code","Plant Name","State","County","Generator ID","Status","Technology","Prime Mover","Sector Name","Sector","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Nameplate Energy Capacity (MWh)","Maximum Charge Rate (MW)","Maximum Discharge Rate (MW)","Storage Technology 1","Storage Technology 2","Storage Technology 3","Storage Technology 4","Nameplate Reactive Power Rating","Storage Enclosure Type","Arbitrage","Frequency Regulation","Load Following","Ramping / Spinning Reserve","Co-Located Renewable Firming","Transmission and Distribution Deferral","System Peak Shaving","Load Management","Voltage or Reactive Power Support","Backup Power","Excess Wind and Solar Generation"
9216,"Imperial Irrigation District",389,"El Centro","CA","Imperial","BESS","OP","Batteries","BA","Electric Utility",1,30,28,29,10,2016,20,30,30,"LIB",NA,NA,NA,14.4,"BL","N","Y","Y","Y","N",NA,NA,NA,"Y",NA,"Y"
9273,"Indianapolis Power & Light Co",990,"Harding Street","IN","Marion","BAT1","OP","Batteries","BA","Electric Utility",1,20,20,20,6,2016,20,20,20,"LIB",NA,NA,NA,20,"BL",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
31719,"FPL Energy Wyman LLC",1507,"William F Wyman","ME","Cumberland","BESS","OP","Batteries","BA","IPP Non-CHP",2,16.7,16.2,16.2,12,2016,10.9,16.7,16.2,"LIB",NA,NA,NA,10.2,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
3542,"Duke Energy Ohio Inc",2830,"Walter C Beckjord","OH","Clermont","BECK1","OP","Batteries","BA","Electric Utility",1,2,2,2,1,2015,1,2,2,"OTH",NA,NA,NA,2,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
3542,"Duke Energy Ohio Inc",2830,"Walter C Beckjord","OH","Clermont","BECK2","OP","Batteries","BA","Electric Utility",1,2,2,2,11,2015,0.8,2,2,"OTH",NA,NA,NA,2,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
17609,"Southern California Edison Co",6704,"Pebbly Beach","CA","Los Angeles","NASB1","OP","Batteries","BA","Electric Utility",1,1,1,1,8,2012,6.8,1,1,"NAB",NA,NA,NA,0.8,"CS",NA,NA,NA,"Y",NA,NA,"Y","Y","Y",NA,NA
189,"PowerSouth Energy Cooperative",7063,"McIntosh (AL)","AL","Washington","1","OP","Natural Gas with Compressed Air Storage","CE","Electric Utility",1,110,110,110,6,1991,110,52,110,NA,NA,NA,NA,0.9,"BL",NA,NA,"Y",NA,NA,NA,"Y","Y","Y",NA,NA
54736,"AltaGas Pomona Energy Inc.",50300,"AltaGas Pomona Energy Inc.","CA","Los Angeles","BESS1","OP","Batteries","BA","IPP Non-CHP",2,20,20,20,12,2016,20,20,20,"LIB",NA,NA,NA,0,"BL",NA,"Y","Y",NA,NA,NA,"N","N","N","N",NA
6862,"Green Mountain Storage, LLC",55370,"Green Mountain Storage, LLC","PA","Somerset","BGM","OP","Batteries","BA","IPP Non-CHP",2,10.4,10.4,10.4,5,2016,10.4,10.4,10.4,"LIB",NA,NA,NA,10.4,"CT",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
6865,"FPL Energy Meyersdale Windpower LLC",56052,"Meyersdale Windpower","PA","Somerset","BMY","OP","Batteries","BA","IPP Non-CHP",2,18,18,18,12,2015,18,18,18,"LIB",NA,NA,NA,18,"CT",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
